Symbol,Side,Cxl,Qty,Price,Bid,Ask,Date1,Date2,TradeID,TradeTiSS,Label,Exbkr,TradeCommType,SourceCommission,Account,OrderID,GTL,GTL-STA,Trailer,Info,Clr,Val1,Val2
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480336,29,473640
S,SS,NEW,200,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480365,29,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480367,29,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480413,30,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480550,31,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,481117,34,473640
S,SS,NEW,300,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,481126,34,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,481137,34,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,481144,34,473640
S,SS,NEW,200,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,481150,34,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,481154,34,0
S,SS,NEW,100,8.2100004736,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,481159,34,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,481175,34,473640
S,SS,NEW,200,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,481177,34,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,481337,35,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,481907,39,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,481915,39,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,482621,46,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,482634,46,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,482642,46,473640
